model,term,auroc,auprc,n_pos,variant,is_fallback,control,library
BulkFormer_93M,cellular response to cytokine stimulus (GO:0071345),0.7169238927960041,0.0646500955487488,345,osdr_common,False,real,GO-BP
BulkFormer_93M,organelle organization (GO:0006996),0.6242311653216314,0.0390283965458678,343,osdr_common,False,real,GO-BP
BulkFormer_93M,regulation of cell migration (GO:0030334),0.6793661207307262,0.0481076725944562,343,osdr_common,False,real,GO-BP
BulkFormer_93M,organelle assembly (GO:0070925),0.626437095646092,0.0413534683885721,336,osdr_common,False,real,GO-BP
BulkFormer_93M,regulation of cellular macromolecule biosynthetic process (GO:2000112),0.5889789527120108,0.0329855920601106,324,osdr_common,False,real,GO-BP
BulkFormer_93M,negative regulation of programmed cell death (GO:0043069),0.6676282532581979,0.0519354082272226,319,osdr_common,False,real,GO-BP
BulkFormer_93M,cellular protein metabolic process (GO:0044267),0.706309247541212,0.0720328963534735,318,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of protein phosphorylation (GO:0001934),0.6059657651595138,0.0335229854249044,316,osdr_common,False,real,GO-BP
BulkFormer_93M,protein modification by small protein conjugation (GO:0032446),0.6615217873600215,0.0411067783967906,315,osdr_common,False,real,GO-BP
BulkFormer_93M,positive regulation of macromolecule metabolic process (GO:0010604),0.6228448281153216,0.0363134365232248,311,osdr_common,False,real,GO-BP
BulkFormer_93M,negative regulation of cell population proliferation (GO:0008285),0.5892700127063234,0.0325666756244107,309,osdr_common,False,real,GO-BP
Geneformer,regulation of transcription by RNA polymerase II (GO:0006357),0.7650495290841016,0.3646195329793233,1491,osdr_common,False,real,GO-BP
Geneformer,"regulation of transcription, DNA-templated (GO:0006355)",0.7738130936243433,0.3756377690808113,1468,osdr_common,False,real,GO-BP
Geneformer,"positive regulation of transcription, DNA-templated (GO:0045893)",0.7041689195532043,0.184907725668824,989,osdr_common,False,real,GO-BP
Geneformer,cellular protein modification process (GO:0006464),0.6121684765899981,0.0946043127170366,881,osdr_common,False,real,GO-BP
Geneformer,regulation of gene expression (GO:0010468),0.628317636633264,0.0981839129008703,793,osdr_common,False,real,GO-BP
Geneformer,positive regulation of transcription by RNA polymerase II (GO:0045944),0.7010672241057723,0.1447370204037306,771,osdr_common,False,real,GO-BP
Geneformer,"negative regulation of transcription, DNA-templated (GO:0045892)",0.7082177631234075,0.1404675521352882,717,osdr_common,False,real,GO-BP
