gene_symbol,importance
UBA5,0.00014478709885852722
NDRG1,0.00014432886579137665
TTK,0.000143927432224335
TMEM79,0.00014277280764687816
KCNA4,0.00014194840455525294
AQP2,0.0001418042375641946
HSPA12B,0.00014175564919184178
PTPRM,0.00014159385740866037
BICRAL,0.000140720933866434
LDHD,0.00014066537406802872
STAMBPL1,0.00014042813246367507
CHRM1,0.00013973835888794536
PCDH19,0.00013967583349473378
ADCYAP1R1,0.00013956368486789573
STAT4,0.00013886560494241043
NOSIP,0.00013767366151857998
POGLUT2,0.00013716961617995767
TMEM145,0.00013714368725353064
PPP1R1A,0.00013706428517242384
SLC28A1,0.0001368055734372564
ADRB2,0.00013560030605521206
PLEKHD1,0.00013548401271291986
CILP2,0.0001354597071590879
DMD,0.000134819125741621
EOGT,0.00013472693417890236
CLEC14A,0.00013455492700580873
DPM2,0.00013368186747096482
PLK1,0.00013339405464969553
RELN,0.0001328082172979128
LGR6,0.00013271237095889264
TIPARP,0.00013239739778016715
ZCCHC8,0.00013210149286556702
CHD4,0.00013173908512058663
SAPCD2,0.00013166184750181532
ARHGAP20,0.00013159769533660902
VPS72,0.0001312143413252253
SOX17,0.00013118912224598328
ADGRA1,0.00013115457873867187
MAPK8IP3,0.00013097637119424585
HEPACAM,0.0001308943044200229
ZBTB44,0.0001304308121340527
KY,0.0001297900209347041
FAM180A,0.00012971936734063408
GPR75,0.00012962759297433345
SH3GL2,0.00012950020129974923
CAPN11,0.00012935933812613663
MAGI3,0.00012900036429772433
TDP1,0.00012850719438679123
FBXL6,0.0001279959354329123
COLEC12,0.000127979012321115
MCM10,0.0001279478432315613
FAM110D,0.0001272728445206984
NLE1,0.00012709086281948877
N4BP2L1,0.00012679304224031987
HCK,0.00012637370674802828
INTS9,0.00012631549296288034
PNMT,0.00012625335700821279
SASH3,0.00012618266399857785
PTN,0.00012611435552268454
CALB1,0.00012607775574734786
MAP2K6,0.00012543443726587138
IER5L,0.00012541979336993609
B3GALT1,0.00012540347405932197
PHLDB2,0.00012532924184164115
XKRX,0.00012513656990100278
HOXB13,0.00012392743870193542
PTGER1,0.0001229016211929976
SLC22A8,0.00012274394217199545
INKA2,0.00012258437094209
PUSL1,0.00012254161376978117
SOX10,0.00012159827524766319
TDRKH,0.00012093398155372246
AP5Z1,0.0001207248702356202
RETN,0.00012070294815823488
TARS2,0.00011997663364984216
SEMA3D,0.00011977474693620672
PENK,0.00011913639029940051
PNPLA6,0.00011869433052193611
KCNQ3,0.00011858293732164913
SYNDIG1,0.00011847150079514091
MROH6,0.000117078791209923
OLAH,0.00011639609922623586
OTX1,0.00011638237618571921
FFAR4,0.00011637432234226495
CHIC2,0.00011623442596639035
ADH5,0.00011623175760018624
CSRP1,0.00011602543224266656
RTCB,0.00011581070094857179
CCDC73,0.00011546539764767661
GPR176,0.00011505371185706266
MPHOSPH8,0.00011496861822622949
DNER,0.00011490380106111739
PRCC,0.00011440596176325646
ZC3H12D,0.00011410195949292469
SHC3,0.0001139445180106637
GPM6B,0.00011383029016788626
