benchmark,metric,models_available,status,ESM2_PCA512_prior,Txn_Jatin,Txn_Jatin_contextual,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
SL all_genes concat,PR@10,11/11,complete,0.2,0.5,0.3666666666666667,0.1333333333333333,0.0,0.1666666666666666,0.2666666666666666,0.1333333333333333,0.1333333333333333,0.2333333333333333,0.2333333333333333
SL all_genes product,AUROC,11/11,complete,0.6339539796319112,0.581118802743498,0.6082113887056902,0.569759231947831,0.4889703900093151,0.5867869877652802,0.6045593375348918,0.5827865515001412,0.5809603198330217,0.6728519489633099,0.6947798712235255
SL all_genes product,AUPRC,11/11,complete,0.1590032395496229,0.1303472156351611,0.1576901628733104,0.1238701438637405,0.100826871897535,0.1191799086820284,0.1244263462573828,0.1271665642005422,0.1451218801471231,0.1794938718405108,0.1914344450672676
SL all_genes product,PR@10,11/11,complete,0.4333333333333333,0.2666666666666666,0.3333333333333333,0.1333333333333333,0.0999999999999999,0.0,0.0666666666666666,0.1333333333333333,0.2666666666666666,0.3,0.1666666666666666
SL all_genes sum,AUROC,11/11,complete,0.7092490924541025,0.7611698972294597,0.6686620199458199,0.5307208159318249,0.4628432807651757,0.6927920873252305,0.6936887096591745,0.6310674481374553,0.6330725127708069,0.706914011697218,0.6946365187095852
SL all_genes sum,AUPRC,11/11,complete,0.2410324270665211,0.2493010308821629,0.2159117713781696,0.1171268409684915,0.0878121090867456,0.1761764300150785,0.2179664428501294,0.1509310656233944,0.1617167408949765,0.195128306220411,0.1786418974869861
SL all_genes sum,PR@10,11/11,complete,0.4666666666666666,0.3666666666666667,0.3666666666666667,0.0666666666666666,0.0666666666666666,0.1333333333333333,0.2666666666666666,0.2,0.2333333333333333,0.2666666666666666,0.1666666666666666
SL intersect concat,AUROC,11/11,complete,0.7645931429227878,0.7927145745391728,0.8040413072008379,0.6109118970579642,0.5199948865825715,0.6319177357090383,0.6739263601547226,0.7088675638671834,0.6687057964859088,0.6871422669870145,0.7547934065313182
SL intersect concat,AUPRC,11/11,complete,0.2697796163899442,0.3083589016373674,0.3372317577345713,0.1272030333027378,0.0869595508312674,0.1203719731121683,0.1244128095998437,0.192922636814304,0.1980183061143219,0.1292477259637929,0.2031804370839741
SL intersect concat,PR@10,11/11,complete,0.5,0.5,0.5333333333333333,0.0666666666666666,0.0333333333333333,0.2,0.0333333333333333,0.3,0.2333333333333333,0.1333333333333333,0.2333333333333333
SL intersect product,AUROC,11/11,complete,0.6093230676063166,0.6180661973089859,0.5824984712599349,0.6417651840086999,0.5378931826554619,0.5597482168032588,0.5367753745055458,0.6681338782013393,0.6421993116008017,0.6682007384649017,0.7179484461084127
SL intersect product,AUPRC,11/11,complete,0.1191756809750304,0.1196598093485735,0.1227325073684689,0.1110054805057934,0.0838696837660019,0.0929850555792467,0.0839608165162458,0.159649628506403,0.1449143476866982,0.1256262044241094,0.1849144947766278
SL intersect product,PR@10,11/11,complete,0.1333333333333333,0.1,0.1666666666666666,0.0666666666666666,0.0,0.0333333333333333,0.0666666666666666,0.3,0.1999999999999999,0.1333333333333333,0.3333333333333333
SL intersect sum,AUROC,11/11,complete,0.7936604966182296,0.841053837538645,0.8403471176261651,0.6250597889864474,0.5395754101230437,0.6208976826756007,0.6435736781234612,0.7383839364398345,0.6817863792348678,0.7011495032756173,0.7389374804845463
SL intersect sum,AUPRC,11/11,complete,0.2694242201112702,0.3255669963758562,0.3201610670983322,0.158351377495864,0.1165002297511348,0.1441185543166756,0.1219709100041356,0.211163475521356,0.2194764283367184,0.1517567591583337,0.2197854940439243
