gene_symbol,discovery_variance,discovery_detection_rate,panel_score,excluded_signature_gene
ROPN1L,0.6100905,0.5061626951520132,0.43404956494097496,False
INSYN2A,0.8860437,0.2399342645850452,0.43401155481767817,False
BAIAP2,0.4346338,0.9967132292522597,0.43391893275321963,False
NOCT,0.43401328,0.9991783073130649,0.43383492787962846,True
POLQ,0.5312143,0.6668036154478225,0.4337792043784748,True
FAM135A,0.4474286,0.9391947411668036,0.4336122876434223,False
GLTPD2,0.5318191,0.6647493837304848,0.43360362730134433,False
KLHL29,0.5038747,0.7403451109285127,0.433550484071871,False
EIF5A2,0.44087693,0.966721446179129,0.43347898864870893,False
DNASE2B,0.7376851,0.3451109285127362,0.43336153251299814,False
MCOLN2,0.46303046,0.8759244042728019,0.4333540627366238,False
BBOF1,0.44393343,0.9519309778142975,0.4331323061229657,False
TMEM51,0.4329281,1.0,0.43292808532714844,False
SKP2,0.43983212,0.9687756778964667,0.4329109354326245,False
PRAM1,0.47281176,0.8377156943303204,0.43274951973526893,False
CERS2,0.43271518,1.0,0.43271517753601074,False
ZIK1,0.48353887,0.8007395234182416,0.43269016146403094,False
INSIG1,0.43266964,1.0,0.43266963958740234,False
DBN1,0.4325806,1.0,0.4325805902481079,False
LIPA,0.43257335,1.0,0.4325733482837677,False
ABCD3,0.4326609,0.9995891536565324,0.43257201980030224,False
LAT2,0.4340528,0.9926047658175843,0.43244485584936104,False
SRRM3,0.5379915,0.6458504519309778,0.4323559272248935,False
MATK,0.47687045,0.8196384552177486,0.4317293482128904,False
CPN1,1.1287605,0.14626129827444537,0.43168454327717437,False
LRRC20,0.43177474,0.9987674609695973,0.4315085638018279,False
ANO6,0.43141064,1.0,0.43141064047813416,False
MVP,0.43140024,1.0,0.43140023946762085,True
ELMO1,0.43449312,0.985620377978636,0.4313578893487894,False
RECQL,0.43228313,0.995480690221857,0.43130521644438774,False
RAB34,0.4312022,1.0,0.4312022030353546,False
CYP2U1,0.43416658,0.9860312243221035,0.4311235283533536,False
DBF4,0.43166772,0.9971240755957272,0.43104654652236524,True
SERPINH1,0.4310382,1.0,0.4310382008552551,True
TRIM3,0.43126288,0.9987674609695973,0.4309970244526405,False
CELSR3,0.5588442,0.594494658997535,0.4308883313175275,False
SIGIRR,0.4310238,0.9987674609695973,0.4307580976020331,False
METRNL,0.43055755,1.0,0.4305575489997864,False
ACBD4,0.43113008,0.9971240755957272,0.4305096862803551,False
BST1,0.43390208,0.9835661462612982,0.43032197343910544,False
HELLS,0.44311485,0.9428923582580115,0.43027623486782485,True
ASH1L,0.43017608,0.9987674609695973,0.4299108931311372,False
ZC4H2,0.46859267,0.8414133114215283,0.4298334239507743,False
PCDHB2,0.56234014,0.5842235004108464,0.42982195600869527,False
PCSK5,0.4861829,0.7810188989317995,0.42966546670373806,False
SLC23A2,0.429659,1.0,0.42965900897979736,False
BCL6,0.42966083,0.9995891536565324,0.42957255556420454,True
CAD,0.4296543,0.9995891536565324,0.42956603019647654,False
MCM6,0.42950785,1.0,0.429507851600647,True
ARHGAP6,0.5478511,0.6146261298274446,0.4295048145491566,False
FAT4,0.5265695,0.6651602300739523,0.4294561494627899,False
CDC42BPA,0.42989594,0.9979457682826622,0.4294541575116324,False
CEP85,0.429628,0.9983566146261298,0.42927484720966586,False
SFMBT2,0.44053295,0.9490550534100246,0.4291648087382522,False
CSPG5,0.5613663,0.5842235004108464,0.42907762089516516,False
FMO4,0.42993128,0.995480690221857,0.4289586865610537,False
ARHGAP18,0.42903793,0.9995891536565324,0.4289497851948775,False
PLEKHG2,0.42922845,0.9983566146261298,0.42887561592372536,False
CACFD1,0.42887473,1.0,0.4288747310638428,False
CDH4,0.7984239,0.28841413311421527,0.42878717810331834,False
JADE3,0.42895135,0.9991783073130649,0.4287750835226214,False
NUMBL,0.42949736,0.995480690221857,0.4285257463709587,False
GLI2,0.51682967,0.6869350862777321,0.42835642634121895,False
CMTM3,0.42826298,1.0,0.42826297879219055,False
