signature,gene_symbol
G2-M Checkpoint,SLC7A1
G2-M Checkpoint,FOXN3
G2-M Checkpoint,SS18
G2-M Checkpoint,TRAIP
G2-M Checkpoint,PRMT5
G2-M Checkpoint,CUL5
G2-M Checkpoint,DDX39A
G2-M Checkpoint,MARCKS
G2-M Checkpoint,PBK
G2-M Checkpoint,ORC5
G2-M Checkpoint,SAP30
G2-M Checkpoint,KATNA1
G2-M Checkpoint,HNRNPD
G2-M Checkpoint,POLA2
G2-M Checkpoint,HIRA
G2-M Checkpoint,HIF1A
G2-M Checkpoint,SYNCRIP
G2-M Checkpoint,TLE3
G2-M Checkpoint,RAD23B
G2-M Checkpoint,E2F2
G2-M Checkpoint,EGF
G2-M Checkpoint,SRSF10
G2-M Checkpoint,SNRPD1
G2-M Checkpoint,CASP8AP2
G2-M Checkpoint,SMARCC1
G2-M Checkpoint,SLC12A2
G2-M Checkpoint,NOTCH2
G2-M Checkpoint,TNPO2
G2-M Checkpoint,SMAD3
G2-M Checkpoint,MAP3K20
G2-M Checkpoint,HSPA8
G2-M Checkpoint,G3BP1
G2-M Checkpoint,DMD
G2-M Checkpoint,MEIS1
G2-M Checkpoint,HNRNPU
G2-M Checkpoint,SRSF2
G2-M Checkpoint,NUP98
G2-M Checkpoint,EWSR1
G2-M Checkpoint,KIF5B
G2-M Checkpoint,MTF2
G2-M Checkpoint,E2F4
G2-M Checkpoint,BCL3
G2-M Checkpoint,PURA
G2-M Checkpoint,MEIS2
G2-M Checkpoint,PAFAH1B1
G2-M Checkpoint,WRN
G2-M Checkpoint,H2AZ2
G2-M Checkpoint,ODF2
Hypoxia,PGK1
Hypoxia,PDK1
Hypoxia,GBE1
Hypoxia,PFKL
Hypoxia,ENO2
Hypoxia,PGM1
Hypoxia,NDRG1
Hypoxia,ALDOC
Hypoxia,MXI1
Hypoxia,SLC2A1
Hypoxia,P4HA1
Hypoxia,ADM
Hypoxia,P4HA2
Hypoxia,PFKP
Hypoxia,FAM162A
Hypoxia,PFKFB3
Hypoxia,VEGFA
Hypoxia,BNIP3L
Hypoxia,TPI1
Hypoxia,ERO1A
Hypoxia,KDM3A
Hypoxia,CCNG2
Hypoxia,LDHA
Hypoxia,GYS1
