token_id,gene_symbol
1271,BAK1
1272,BAMBI
1273,BANF1
1274,BANF2
1275,BANK1
1276,BANP
1277,BAP1
1278,BARD1
1279,BARHL1
1280,BARHL2
1281,BARX1
1282,BARX2
1283,BASP1
1284,BATF
1285,BATF2
1286,BATF3
1287,BAX
1288,BAZ1A
1289,BAZ1B
1290,BAZ2A
1291,BAZ2B
1292,BBC3
1293,BBIP1
1294,BBLN
1295,BBOF1
1296,BBOX1
1297,BBS1
1298,BBS10
1299,BBS12
1300,BBS2
1301,BBS4
1302,BBS5
1303,BBS7
1304,BBS9
1305,BBX
1306,BCAM
1307,BCAN
1308,BCAP29
1309,BCAP31
1310,BCAR1
1311,BCAR3
1312,BCAS1
1313,BCAS2
1314,BCAS3
1315,BCAT1
1316,BCAT2
1317,BCCIP
1318,BCDIN3D
1319,BCHE
1320,BCKDHA
1321,BCKDHB
1322,BCKDK
1323,BCL10
1324,BCL11A
1325,BCL11B
1326,BCL2
1327,BCL2L1
1328,BCL2L10
1329,BCL2L11
1330,BCL2L12
1331,BCL2L13
1332,BCL2L14
1333,BCL2L15
1334,BCL2L2
1335,BCL3
1336,BCL6
1337,BCL6B
1338,BCL7A
1339,BCL7B
1340,BCL7C
1341,BCL9
1342,BCL9L
1343,BCLAF1
1344,BCLAF3
1345,BCO1
1346,BCO2
1347,BCOR
1348,BCORL1
1349,BCR
1350,BCS1L
1351,BDH1
1352,BDH2
1353,BDKRB1
1354,BDKRB2
1355,BDNF
1356,BDP1
1357,BEAN1
1358,BECN1
1359,BECN2
1360,BEGAIN
1361,BEND2
1362,BEND3
1363,BEND4
1364,BEND5
1365,BEND6
1366,BEND7
1367,BEST1
1368,BEST2
1369,BEST3
1370,BET1
1371,BET1L
1372,BEX3
1373,BFAR
1374,BFSP1
1375,BFSP2
1376,BGN
1377,BHLHA15
1378,BHLHA9
1379,BHLHE22
1380,BHLHE23
1381,BHLHE40
1382,BHLHE41
1383,BHMT
1384,BHMT2
1385,BICC1
1386,BICD1
1387,BICD2
1388,BICDL1
1389,BICDL2
1390,BICRA
1391,BICRAL
1392,BID
1393,BIK
1394,BIN1
1395,BIN2
1396,BIN3
1397,BIRC2
1398,BIRC3
1399,BIRC5
1400,BIRC6
1401,BIRC7
1402,BIVM
1403,BLCAP
1404,BLK
1405,BLM
1406,BLMH
1407,BLNK
1408,BLOC1S1
1409,BLOC1S2
1410,BLOC1S3
1411,BLOC1S4
1412,BLOC1S5
1413,BLOC1S6
1414,BLVRA
1415,BLVRB
1416,BLZF1
1417,BMERB1
1418,BMF
1419,BMP1
1420,BMP10
1421,BMP15
1422,BMP2
1423,BMP2K
1424,BMP3
1425,BMP4
1426,BMP5
1427,BMP6
1428,BMP7
1429,BMP8B
1430,BMPER
1431,BMPR1A
1432,BMPR1B
1433,BMPR2
1434,BMS1
1435,BMX
1436,BNC1
